Using hybrid two-pass approach
APSC: Starting from 2550 to 198
Collapsed to 2164 vertices (cost: 133.333)
Collapsed to 2163 vertices (cost: 1.24444e-05)
Collapsed to 2162 vertices (cost: 133.333)
Collapsed to 2161 vertices (cost: 200)
Collapsed to 2160 vertices (cost: 200)
Collapsed to 2159 vertices (cost: 200)
Collapsed to 2158 vertices (cost: 200)
Collapsed to 2157 vertices (cost: 50)
Collapsed to 2156 vertices (cost: 80)
Collapsed to 2155 vertices (cost: 177.778)
Collapsed to 2154 vertices (cost: 88.4792)
Collapsed to 2153 vertices (cost: 200)
Collapsed to 2152 vertices (cost: 10)
Collapsed to 2151 vertices (cost: 200)
Collapsed to 2150 vertices (cost: 200)
Collapsed to 2149 vertices (cost: 200)
Collapsed to 2148 vertices (cost: 44.4444)
Collapsed to 2147 vertices (cost: 5.93207e-05)
Collapsed to 2146 vertices (cost: 166.667)
Collapsed to 2145 vertices (cost: 179.71)
Collapsed to 2144 vertices (cost: 200)
Collapsed to 2143 vertices (cost: 57.1429)
Collapsed to 2142 vertices (cost: 200)
Collapsed to 2141 vertices (cost: 200)
Collapsed to 2140 vertices (cost: 200)
Collapsed to 2139 vertices (cost: 200)
Collapsed to 2138 vertices (cost: 4.81693e-05)
Collapsed to 2137 vertices (cost: 1.61947e-07)
Collapsed to 2136 vertices (cost: 200)
Collapsed to 2135 vertices (cost: 200)
Collapsed to 2134 vertices (cost: 3.75218e-05)
Collapsed to 2133 vertices (cost: 8.54647e-09)
Collapsed to 2132 vertices (cost: 127.273)
Collapsed to 2131 vertices (cost: 2.49034e-06)
Collapsed to 2130 vertices (cost: 24.4276)
Collapsed to 2129 vertices (cost: 200)
Collapsed to 2128 vertices (cost: 200.143)
Collapsed to 2127 vertices (cost: 203.252)
Collapsed to 2126 vertices (cost: 208.421)
Collapsed to 2125 vertices (cost: 3.75726)
Collapsed to 2124 vertices (cost: 212.766)
Collapsed to 2123 vertices (cost: 0.000367804)
Collapsed to 2122 vertices (cost: 20)
Collapsed to 2121 vertices (cost: 66.2446)
Collapsed to 2120 vertices (cost: 214.286)
Collapsed to 2119 vertices (cost: 218.182)
Collapsed to 2118 vertices (cost: 185.124)
Collapsed to 2117 vertices (cost: 220)
Collapsed to 2116 vertices (cost: 222.222)
Collapsed to 2115 vertices (cost: 59.2593)
Collapsed to 2114 vertices (cost: 0.000122091)
Collapsed to 2113 vertices (cost: 222.222)
Collapsed to 2112 vertices (cost: 222.967)
Collapsed to 2111 vertices (cost: 225)
Collapsed to 2110 vertices (cost: 60)
Collapsed to 2109 vertices (cost: 120)
Collapsed to 2108 vertices (cost: 31.7881)
Collapsed to 2107 vertices (cost: 7.24274e-05)
Collapsed to 2106 vertices (cost: 2.81841e-06)
Collapsed to 2105 vertices (cost: 159.071)
Collapsed to 2104 vertices (cost: 225)
Collapsed to 2103 vertices (cost: 85.4167)
Collapsed to 2102 vertices (cost: 227.522)
Collapsed to 2101 vertices (cost: 100.546)
Collapsed to 2100 vertices (cost: 228.571)
Collapsed to 2099 vertices (cost: 225)
Collapsed to 2098 vertices (cost: 228.571)
Collapsed to 2097 vertices (cost: 144.737)
Collapsed to 2096 vertices (cost: 2.0742)
Collapsed to 2095 vertices (cost: 229.412)
Collapsed to 2094 vertices (cost: 233.333)
Collapsed to 2093 vertices (cost: 233.333)
Collapsed to 2092 vertices (cost: 233.333)
Collapsed to 2091 vertices (cost: 2.0233e-07)
Collapsed to 2090 vertices (cost: 233.333)
Collapsed to 2089 vertices (cost: 116.279)
Collapsed to 2088 vertices (cost: 235.294)
Collapsed to 2087 vertices (cost: 115.057)
Collapsed to 2086 vertices (cost: 236.735)
Collapsed to 2085 vertices (cost: 238.095)
Collapsed to 2084 vertices (cost: 238.509)
Collapsed to 2083 vertices (cost: 239.895)
Collapsed to 2082 vertices (cost: 140)
Collapsed to 2081 vertices (cost: 207.213)
Collapsed to 2080 vertices (cost: 240)
Collapsed to 2079 vertices (cost: 216.049)
Collapsed to 2078 vertices (cost: 225)
Collapsed to 2077 vertices (cost: 240)
Collapsed to 2076 vertices (cost: 240)
Collapsed to 2075 vertices (cost: 53.3333)
Collapsed to 2074 vertices (cost: 2.4897e-05)
Collapsed to 2073 vertices (cost: 4.76193)
Collapsed to 2072 vertices (cost: 240)
Collapsed to 2071 vertices (cost: 240)
Collapsed to 2070 vertices (cost: 96.4286)
Collapsed to 2069 vertices (cost: 111.549)
Collapsed to 2068 vertices (cost: 7.14831e-09)
Collapsed to 2067 vertices (cost: 143.935)
Collapsed to 2066 vertices (cost: 240)
Collapsed to 2065 vertices (cost: 244.444)
Collapsed to 2064 vertices (cost: 250)
Collapsed to 2063 vertices (cost: 250)
Collapsed to 2062 vertices (cost: 171.429)
Collapsed to 2061 vertices (cost: 140.476)
Collapsed to 2060 vertices (cost: 250)
Collapsed to 2059 vertices (cost: 250)
Collapsed to 2058 vertices (cost: 251.634)
Collapsed to 2057 vertices (cost: 7.67484e-05)
Collapsed to 2056 vertices (cost: 171.429)
Collapsed to 2055 vertices (cost: 252.632)
Collapsed to 2054 vertices (cost: 252.911)
Collapsed to 2053 vertices (cost: 12.9869)
Collapsed to 2052 vertices (cost: 255.556)
Collapsed to 2051 vertices (cost: 32.0755)
Collapsed to 2050 vertices (cost: 153.043)
Collapsed to 2049 vertices (cost: 257.143)
Collapsed to 2048 vertices (cost: 35.0629)
Collapsed to 2047 vertices (cost: 257.143)
Collapsed to 2046 vertices (cost: 4.98174e-05)
Collapsed to 2045 vertices (cost: 7.99241e-09)
Collapsed to 2044 vertices (cost: 257.391)
Collapsed to 2043 vertices (cost: 168.034)
Collapsed to 2042 vertices (cost: 259.459)
Collapsed to 2041 vertices (cost: 17.5193)
Collapsed to 2040 vertices (cost: 260)
Collapsed to 2039 vertices (cost: 75.2941)
Collapsed to 2038 vertices (cost: 72.973)
Collapsed to 2037 vertices (cost: 260)
Collapsed to 2036 vertices (cost: 163.333)
Collapsed to 2035 vertices (cost: 0.000122071)
Collapsed to 2034 vertices (cost: 261.818)
Collapsed to 2033 vertices (cost: 262.5)
Collapsed to 2032 vertices (cost: 9.375)
Collapsed to 2031 vertices (cost: 139.535)
Collapsed to 2030 vertices (cost: 263.736)
Collapsed to 2029 vertices (cost: 266.667)
Collapsed to 2028 vertices (cost: 3.93391e-05)
Collapsed to 2027 vertices (cost: 5.0389e-09)
Collapsed to 2026 vertices (cost: 266.667)
Collapsed to 2025 vertices (cost: 88.8889)
Collapsed to 2024 vertices (cost: 266.667)
Collapsed to 2023 vertices (cost: 1.24029e-05)
Collapsed to 2022 vertices (cost: 266.667)
Collapsed to 2021 vertices (cost: 2.48586e-05)
Collapsed to 2020 vertices (cost: 266.667)
Collapsed to 2019 vertices (cost: 4.04838e-06)
Collapsed to 2018 vertices (cost: 32.9412)
Collapsed to 2017 vertices (cost: 158.333)
Collapsed to 2016 vertices (cost: 91.018)
Collapsed to 2015 vertices (cost: 267.907)
Collapsed to 2014 vertices (cost: 272.178)
Collapsed to 2013 vertices (cost: 272.222)
Collapsed to 2012 vertices (cost: 272.727)
Collapsed to 2011 vertices (cost: 275)
Collapsed to 2010 vertices (cost: 12.2605)
Collapsed to 2009 vertices (cost: 275)
Collapsed to 2008 vertices (cost: 275)
Collapsed to 2007 vertices (cost: 276.923)
Collapsed to 2006 vertices (cost: 56.8047)
Collapsed to 2005 vertices (cost: 277.66)
Collapsed to 2004 vertices (cost: 247.588)
Collapsed to 2003 vertices (cost: 280)
Collapsed to 2002 vertices (cost: 280)
Collapsed to 2001 vertices (cost: 38.5714)
Collapsed to 2000 vertices (cost: 280)
Collapsed to 1999 vertices (cost: 175)
Collapsed to 1998 vertices (cost: 71.9149)
Collapsed to 1997 vertices (cost: 280)
Collapsed to 1996 vertices (cost: 37.3333)
Collapsed to 1995 vertices (cost: 285.714)
Collapsed to 1994 vertices (cost: 87.0748)
Collapsed to 1993 vertices (cost: 285.714)
Collapsed to 1992 vertices (cost: 288)
Collapsed to 1991 vertices (cost: 288)
Collapsed to 1990 vertices (cost: 45.2308)
Collapsed to 1989 vertices (cost: 288)
Collapsed to 1988 vertices (cost: 290.868)
Collapsed to 1987 vertices (cost: 291.379)
Collapsed to 1986 vertices (cost: 292.174)
Collapsed to 1985 vertices (cost: 222.649)
Collapsed to 1984 vertices (cost: 293.333)
Collapsed to 1983 vertices (cost: 23.5294)
Collapsed to 1982 vertices (cost: 294.545)
Collapsed to 1981 vertices (cost: 295.704)
Collapsed to 1980 vertices (cost: 299.197)
Collapsed to 1979 vertices (cost: 100.491)
Collapsed to 1978 vertices (cost: 300)
