Using hybrid two-pass approach
APSC: Starting from 1860 to 198
Collapsed to 1655 vertices (cost: 14.7653)
Collapsed to 1654 vertices (cost: 14.8992)
Collapsed to 1653 vertices (cost: 14.9021)
Collapsed to 1652 vertices (cost: 14.9263)
Collapsed to 1651 vertices (cost: 14.9539)
Collapsed to 1650 vertices (cost: 15.0186)
Collapsed to 1649 vertices (cost: 15.2857)
Collapsed to 1648 vertices (cost: 14.8039)
Collapsed to 1647 vertices (cost: 15.3117)
Collapsed to 1646 vertices (cost: 15.467)
Collapsed to 1645 vertices (cost: 15.5343)
Collapsed to 1644 vertices (cost: 13.1347)
Collapsed to 1643 vertices (cost: 15.6269)
Collapsed to 1642 vertices (cost: 15.656)
Collapsed to 1641 vertices (cost: 15.7409)
Collapsed to 1640 vertices (cost: 15.7764)
Collapsed to 1639 vertices (cost: 15.8196)
Collapsed to 1638 vertices (cost: 15.8448)
Collapsed to 1637 vertices (cost: 16.0685)
Collapsed to 1636 vertices (cost: 16.1961)
Collapsed to 1635 vertices (cost: 16.4368)
Collapsed to 1634 vertices (cost: 16.5095)
Collapsed to 1633 vertices (cost: 16.6937)
Collapsed to 1632 vertices (cost: 17.1838)
Collapsed to 1631 vertices (cost: 17.1999)
Collapsed to 1630 vertices (cost: 17.3803)
Collapsed to 1629 vertices (cost: 17.4014)
Collapsed to 1628 vertices (cost: 16.1993)
Collapsed to 1627 vertices (cost: 17.4647)
Collapsed to 1626 vertices (cost: 17.4765)
Collapsed to 1625 vertices (cost: 17.6649)
Collapsed to 1624 vertices (cost: 15.6314)
Collapsed to 1623 vertices (cost: 17.7885)
Collapsed to 1622 vertices (cost: 17.8009)
Collapsed to 1621 vertices (cost: 17.8488)
Collapsed to 1620 vertices (cost: 17.8559)
Collapsed to 1619 vertices (cost: 17.8809)
Collapsed to 1618 vertices (cost: 0.110155)
Collapsed to 1617 vertices (cost: 17.9619)
Collapsed to 1616 vertices (cost: 17.9924)
Collapsed to 1615 vertices (cost: 18.0585)
Collapsed to 1614 vertices (cost: 18.1388)
Collapsed to 1613 vertices (cost: 18.1785)
Collapsed to 1612 vertices (cost: 18.2228)
Collapsed to 1611 vertices (cost: 18.296)
Collapsed to 1610 vertices (cost: 18.3065)
Collapsed to 1609 vertices (cost: 18.4397)
Collapsed to 1608 vertices (cost: 18.6833)
Collapsed to 1607 vertices (cost: 18.7285)
Collapsed to 1606 vertices (cost: 18.7403)
Collapsed to 1605 vertices (cost: 18.8005)
Collapsed to 1604 vertices (cost: 18.8405)
Collapsed to 1603 vertices (cost: 18.8602)
Collapsed to 1602 vertices (cost: 18.8873)
Collapsed to 1601 vertices (cost: 19.0971)
Collapsed to 1600 vertices (cost: 11.1967)
Collapsed to 1599 vertices (cost: 19.1081)
Collapsed to 1598 vertices (cost: 13.4971)
Collapsed to 1597 vertices (cost: 19.4238)
Collapsed to 1596 vertices (cost: 19.5106)
Collapsed to 1595 vertices (cost: 19.6686)
Collapsed to 1594 vertices (cost: 19.8115)
Collapsed to 1593 vertices (cost: 2.62303)
Collapsed to 1592 vertices (cost: 20.0268)
Collapsed to 1591 vertices (cost: 20.34)
Collapsed to 1590 vertices (cost: 20.3971)
Collapsed to 1589 vertices (cost: 20.4428)
Collapsed to 1588 vertices (cost: 20.5898)
Collapsed to 1587 vertices (cost: 20.7088)
Collapsed to 1586 vertices (cost: 20.7201)
Collapsed to 1585 vertices (cost: 20.8028)
Collapsed to 1584 vertices (cost: 19.6382)
Collapsed to 1583 vertices (cost: 20.9117)
Collapsed to 1582 vertices (cost: 20.9442)
Collapsed to 1581 vertices (cost: 18.7756)
Collapsed to 1580 vertices (cost: 20.9673)
Collapsed to 1579 vertices (cost: 21.1442)
Collapsed to 1578 vertices (cost: 21.1461)
Collapsed to 1577 vertices (cost: 21.1488)
Collapsed to 1576 vertices (cost: 21.2876)
Collapsed to 1575 vertices (cost: 21.4229)
Collapsed to 1574 vertices (cost: 21.4299)
Collapsed to 1573 vertices (cost: 2.08074)
Collapsed to 1572 vertices (cost: 21.4678)
Collapsed to 1571 vertices (cost: 21.4963)
Collapsed to 1570 vertices (cost: 13.2881)
Collapsed to 1569 vertices (cost: 21.9397)
Collapsed to 1568 vertices (cost: 21.9745)
Collapsed to 1567 vertices (cost: 4.76553)
Collapsed to 1566 vertices (cost: 22.034)
Collapsed to 1565 vertices (cost: 22.1479)
Collapsed to 1564 vertices (cost: 22.1608)
Collapsed to 1563 vertices (cost: 22.6371)
Collapsed to 1562 vertices (cost: 22.6691)
Collapsed to 1561 vertices (cost: 22.7271)
Collapsed to 1560 vertices (cost: 2.54952)
Collapsed to 1559 vertices (cost: 22.9084)
Collapsed to 1558 vertices (cost: 22.9087)
Collapsed to 1557 vertices (cost: 22.9582)
Collapsed to 1556 vertices (cost: 20.8826)
Collapsed to 1555 vertices (cost: 23.1579)
Collapsed to 1554 vertices (cost: 23.3833)
Collapsed to 1553 vertices (cost: 23.3862)
Collapsed to 1552 vertices (cost: 23.5437)
Collapsed to 1551 vertices (cost: 23.8046)
Collapsed to 1550 vertices (cost: 23.8704)
Collapsed to 1549 vertices (cost: 23.9933)
Collapsed to 1548 vertices (cost: 24.0003)
Collapsed to 1547 vertices (cost: 24.0179)
Collapsed to 1546 vertices (cost: 24.0474)
Collapsed to 1545 vertices (cost: 24.0696)
Collapsed to 1544 vertices (cost: 24.4194)
Collapsed to 1543 vertices (cost: 24.4812)
Collapsed to 1542 vertices (cost: 24.6063)
Collapsed to 1541 vertices (cost: 24.8191)
Collapsed to 1540 vertices (cost: 24.9766)
Collapsed to 1539 vertices (cost: 25.1131)
Collapsed to 1538 vertices (cost: 25.2077)
Collapsed to 1537 vertices (cost: 25.277)
Collapsed to 1536 vertices (cost: 25.3379)
Collapsed to 1535 vertices (cost: 18.7894)
Collapsed to 1534 vertices (cost: 19.8459)
Collapsed to 1533 vertices (cost: 10.0451)
Collapsed to 1532 vertices (cost: 25.4421)
Collapsed to 1531 vertices (cost: 1.3892)
Collapsed to 1530 vertices (cost: 25.4609)
Collapsed to 1529 vertices (cost: 19.9175)
Collapsed to 1528 vertices (cost: 25.5395)
Collapsed to 1527 vertices (cost: 25.6698)
Collapsed to 1526 vertices (cost: 25.6897)
Collapsed to 1525 vertices (cost: 25.8232)
Collapsed to 1524 vertices (cost: 25.835)
Collapsed to 1523 vertices (cost: 25.8898)
Collapsed to 1522 vertices (cost: 26.1538)
Collapsed to 1521 vertices (cost: 26.1551)
Collapsed to 1520 vertices (cost: 1.89161)
Collapsed to 1519 vertices (cost: 26.3913)
Collapsed to 1518 vertices (cost: 26.5417)
Collapsed to 1517 vertices (cost: 26.6266)
Collapsed to 1516 vertices (cost: 26.6529)
Collapsed to 1515 vertices (cost: 1.84419)
Collapsed to 1514 vertices (cost: 26.8916)
Collapsed to 1513 vertices (cost: 27.1746)
Collapsed to 1512 vertices (cost: 27.2523)
Collapsed to 1511 vertices (cost: 27.3337)
Collapsed to 1510 vertices (cost: 10.5066)
