Using hybrid two-pass approach
APSC: Starting from 2000 to 198
Collapsed to 1764 vertices (cost: 66.6667)
Collapsed to 1763 vertices (cost: 3.27049e-06)
Collapsed to 1762 vertices (cost: 66.6667)
Collapsed to 1761 vertices (cost: 2.81547e-05)
Collapsed to 1760 vertices (cost: 66.6667)
Collapsed to 1759 vertices (cost: 25)
Collapsed to 1758 vertices (cost: 66.6667)
Collapsed to 1757 vertices (cost: 69.2308)
Collapsed to 1756 vertices (cost: 69.2308)
Collapsed to 1755 vertices (cost: 5.63598e-05)
Collapsed to 1754 vertices (cost: 72.9927)
Collapsed to 1753 vertices (cost: 74.0741)
Collapsed to 1752 vertices (cost: 60.1145)
Collapsed to 1751 vertices (cost: 75)
Collapsed to 1750 vertices (cost: 75)
Collapsed to 1749 vertices (cost: 75)
Collapsed to 1748 vertices (cost: 75)
Collapsed to 1747 vertices (cost: 75)
Collapsed to 1746 vertices (cost: 76.9231)
Collapsed to 1745 vertices (cost: 1.31209e-05)
Collapsed to 1744 vertices (cost: 77.7778)
Collapsed to 1743 vertices (cost: 78.125)
Collapsed to 1742 vertices (cost: 80)
Collapsed to 1741 vertices (cost: 28.5185)
Collapsed to 1740 vertices (cost: 16.6667)
Collapsed to 1739 vertices (cost: 80)
Collapsed to 1738 vertices (cost: 80)
Collapsed to 1737 vertices (cost: 43.3735)
Collapsed to 1736 vertices (cost: 1.56102e-05)
Collapsed to 1735 vertices (cost: 2.41111e-08)
Collapsed to 1734 vertices (cost: 7.80221e-05)
Collapsed to 1733 vertices (cost: 4.98106e-05)
Collapsed to 1732 vertices (cost: 80)
Collapsed to 1731 vertices (cost: 70.3125)
Collapsed to 1730 vertices (cost: 80)
Collapsed to 1729 vertices (cost: 80)
Collapsed to 1728 vertices (cost: 80)
Collapsed to 1727 vertices (cost: 80)
Collapsed to 1726 vertices (cost: 80)
Collapsed to 1725 vertices (cost: 80)
Collapsed to 1724 vertices (cost: 80)
Collapsed to 1723 vertices (cost: 80.0001)
Collapsed to 1722 vertices (cost: 81.8182)
Collapsed to 1721 vertices (cost: 1.97838e-05)
Collapsed to 1720 vertices (cost: 76.5958)
Collapsed to 1719 vertices (cost: 82.1229)
Collapsed to 1718 vertices (cost: 83.3333)
Collapsed to 1717 vertices (cost: 2.77778)
Collapsed to 1716 vertices (cost: 83.3333)
Collapsed to 1715 vertices (cost: 42.8571)
Collapsed to 1714 vertices (cost: 5.60051e-05)
Collapsed to 1713 vertices (cost: 80.8382)
Collapsed to 1712 vertices (cost: 85.7143)
Collapsed to 1711 vertices (cost: 5.78285e-05)
Collapsed to 1710 vertices (cost: 85.7143)
Collapsed to 1709 vertices (cost: 53.4884)
Collapsed to 1708 vertices (cost: 85.7143)
Collapsed to 1707 vertices (cost: 38.0951)
Collapsed to 1706 vertices (cost: 6.13738e-05)
Collapsed to 1705 vertices (cost: 43.0379)
Collapsed to 1704 vertices (cost: 85.7143)
Collapsed to 1703 vertices (cost: 13.3333)
Collapsed to 1702 vertices (cost: 12.987)
Collapsed to 1701 vertices (cost: 68.9833)
Collapsed to 1700 vertices (cost: 0.000179679)
Collapsed to 1699 vertices (cost: 85.7143)
Collapsed to 1698 vertices (cost: 9.52379)
Collapsed to 1697 vertices (cost: 88.8889)
Collapsed to 1696 vertices (cost: 4.0851e-05)
Collapsed to 1695 vertices (cost: 88.8889)
Collapsed to 1694 vertices (cost: 88.8889)
Collapsed to 1693 vertices (cost: 28.7671)
