Using hybrid two-pass approach
APSC: Starting from 1850 to 198
Collapsed to 1664 vertices (cost: 100)
Collapsed to 1663 vertices (cost: 100)
Collapsed to 1662 vertices (cost: 100)
Collapsed to 1661 vertices (cost: 100)
Collapsed to 1660 vertices (cost: 105.263)
Collapsed to 1659 vertices (cost: 107.143)
Collapsed to 1658 vertices (cost: 33.3333)
Collapsed to 1657 vertices (cost: 52.8345)
Collapsed to 1656 vertices (cost: 107.692)
Collapsed to 1655 vertices (cost: 108.072)
Collapsed to 1654 vertices (cost: 109.091)
Collapsed to 1653 vertices (cost: 109.091)
Collapsed to 1652 vertices (cost: 109.091)
Collapsed to 1651 vertices (cost: 55.2147)
Collapsed to 1650 vertices (cost: 110.526)
Collapsed to 1649 vertices (cost: 111.111)
Collapsed to 1648 vertices (cost: 111.111)
Collapsed to 1647 vertices (cost: 112.5)
Collapsed to 1646 vertices (cost: 112.5)
Collapsed to 1645 vertices (cost: 112.5)
Collapsed to 1644 vertices (cost: 113.143)
Collapsed to 1643 vertices (cost: 117.073)
Collapsed to 1642 vertices (cost: 117.647)
Collapsed to 1641 vertices (cost: 120)
Collapsed to 1640 vertices (cost: 110.769)
Collapsed to 1639 vertices (cost: 1.46118e-05)
Collapsed to 1638 vertices (cost: 120)
Collapsed to 1637 vertices (cost: 120)
Collapsed to 1636 vertices (cost: 120)
Collapsed to 1635 vertices (cost: 120)
Collapsed to 1634 vertices (cost: 120)
Collapsed to 1633 vertices (cost: 121.739)
Collapsed to 1632 vertices (cost: 1.75572e-05)
Collapsed to 1631 vertices (cost: 9.52912e-13)
Collapsed to 1630 vertices (cost: 1.24321e-05)
Collapsed to 1629 vertices (cost: 121.739)
Collapsed to 1628 vertices (cost: 3.58097e-05)
Collapsed to 1627 vertices (cost: 122.222)
Collapsed to 1626 vertices (cost: 123.077)
Collapsed to 1625 vertices (cost: 123.077)
Collapsed to 1624 vertices (cost: 123.077)
Collapsed to 1623 vertices (cost: 123.077)
Collapsed to 1622 vertices (cost: 123.077)
Collapsed to 1621 vertices (cost: 123.077)
Collapsed to 1620 vertices (cost: 30.3922)
Collapsed to 1619 vertices (cost: 125)
Collapsed to 1618 vertices (cost: 125)
Collapsed to 1617 vertices (cost: 125)
Collapsed to 1616 vertices (cost: 125)
Collapsed to 1615 vertices (cost: 125)
Collapsed to 1614 vertices (cost: 125)
Collapsed to 1613 vertices (cost: 100)
Collapsed to 1612 vertices (cost: 125)
Collapsed to 1611 vertices (cost: 126.829)
Collapsed to 1610 vertices (cost: 126.923)
Collapsed to 1609 vertices (cost: 128.125)
Collapsed to 1608 vertices (cost: 128.571)
Collapsed to 1607 vertices (cost: 14.4092)
Collapsed to 1606 vertices (cost: 128.679)
Collapsed to 1605 vertices (cost: 131.25)
Collapsed to 1604 vertices (cost: 132.258)
Collapsed to 1603 vertices (cost: 133.333)
Collapsed to 1602 vertices (cost: 8.77196)
Collapsed to 1601 vertices (cost: 133.333)
Collapsed to 1600 vertices (cost: 2.48931e-05)
Collapsed to 1599 vertices (cost: 46.6667)
Collapsed to 1598 vertices (cost: 133.333)
Collapsed to 1597 vertices (cost: 11.1111)
Collapsed to 1596 vertices (cost: 134.01)
Collapsed to 1595 vertices (cost: 135)
Collapsed to 1594 vertices (cost: 136.111)
Collapsed to 1593 vertices (cost: 32.2581)
Collapsed to 1592 vertices (cost: 136.364)
Collapsed to 1591 vertices (cost: 136.364)
Collapsed to 1590 vertices (cost: 140)
Collapsed to 1589 vertices (cost: 140)
Collapsed to 1588 vertices (cost: 140)
Collapsed to 1587 vertices (cost: 100)
Collapsed to 1586 vertices (cost: 140)
Collapsed to 1585 vertices (cost: 140.26)
Collapsed to 1584 vertices (cost: 141.176)
Collapsed to 1583 vertices (cost: 142.857)
Collapsed to 1582 vertices (cost: 142.857)
Collapsed to 1581 vertices (cost: 147.368)
Collapsed to 1580 vertices (cost: 149.383)
